ranking,ISBN,title,author,publisher,genre,year
68,9784492315040 ,マンキューマクロ経済学　１,Ｎ・グレゴリ・マンキュー,東洋経済新報社,経済財政,2022
69,9784781914275 ,工学基礎図学と製図,磯田浩,サイエンス社,工学工業,2022
70,9784563004873 ,線形代数・講義と演習,小林正典,培風館,数学,2022
71,9784863984066 ,ことばの架け橋,生越直樹,白帝社,各国語,2022
72,9784781910420 ,演習化学熱力学,渡辺啓,サイエンス社,化学,2022
73,9782014015812 ,Spirale　Nouvelle　Edition/Livere　de　L’ele,,,,2022
74,9784563023232 ,熱力学入門講義,風間洋一,培風館,物理学,2022
75,9784061572041 ,電磁気学,横山順一,講談社,物理学,2022
76,9784003510155 ,源氏物語　１,柳井滋,岩波書店,日文小説,2022
77,9784807908714 ,ウォーレン有機化学　上,ジョナサン・クレイデン,東京化学同人,化学,2022
78,9784255352589 ,フランス文法要説,石井洋二郎,朝日出版社,仏語,2022
79,9784781914459 ,演習図学と製図,磯田浩,サイエンス社,工学工業,2022
80,9784492315194 ,マンキュー経済学　１（ミクロ編）,Ｎ．グレゴリ・マンキュー,東洋経済新報社,経済財政,2022
81,9784781912547 ,演習電磁気学,加藤正昭,サイエンス社,物理学,2022
82,9784758121033 ,現代生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2022
83,9784254146233 ,入門化学熱力学,松永義夫,朝倉書店,化学,2022
84,9784781907819 ,工科系の数学　４,クルト・マイベルク,サイエンス社,数学,2022
85,9784595319426 ,グローバル化時代の日本国憲法,山元一,放送大学教育振興会,法律,2022
86,9784864810258 ,電気電子計測,廣瀬明,数理工学社,電気,2022
87,9784130620710 ,基礎物理学　１,,東京大学出版会,物理学,2022
88,9784255352756 ,リズコミ！フランス語会話ー自立思考と自由会話,,朝日出版社,仏語,2022
89,9784781908533 ,工科系の数学　５,クルト・マイベルク,サイエンス社,数学,2022
90,9784785380328 ,熱学・統計力学,久保亮五,裳華房,物理学,2022
91,9784535787711 ,線型代数,長谷川浩司,日本評論社,数学,2022
92,9784781908892 ,工科系の数学　６,クルト・マイベルク,サイエンス社,数学,2022
93,9784088832876 ,ＯＮＥ　ＰＩＥＣＥ　巻１０４,尾田栄一郎,集英社,コミック,2022
94,9784641138322 ,民法の基礎　１,佐久間毅,有斐閣,法律,2022
95,9784000298612 ,力学,戸田盛和,岩波書店,物理学,2022
96,9784781910628 ,量子論の基礎,清水明,サイエンス社,物理学,2022
97,9784489007323 ,齊藤正彦　微分積分学,斎藤正彦,東京図書,数学,2022
98,9784634640962 ,中国倫理思想の考え方,水口拓寿,山川出版社（千代田区）,外国歴史,2022
99,9784320036413 ,力学,兵頭俊夫,共立出版,物理学,2022
100,9784255550558 ,総合スペイン語コース初級,スペイン語教材研究会,朝日出版社,各国語,2022
1,9784130821322 ,東京大学教養英語読本　１,東京大学,東京大学出版会,英米語,2021
2,9784130624572 ,情報,山口和紀,東京大学出版会,情報科学,2021
3,9784130527040 ,教養としての身体運動・健康科学,東京大学,東京大学出版会,体育スポ,2021
4,9784807907953 ,基礎化学実験,東京大学,東京化学同人,化学,2021
5,9784780609431 ,基礎物理学実験　２０２１秋ー２０２２春,東京大学教養学部基礎物理学実験テキスト編,学術図書出版社,物理学,2021
6,9784758120753 ,演習で学ぶ生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2021
7,9784863984226 ,漢語課本,小野秀樹（中国語）,白帝社,各国語,2021
8,9784255551111 ,スペイン語学習の羅針盤,東京大学教養学部スペイン語部会,朝日出版社,各国語,2021
9,9784883841400 ,入門統計解析,倉田博史,新世社（渋谷区）,経済財政,2021
10,9784759810844 ,量子化学,真船文隆,化学同人,化学,2021
11,9784130624589 ,Ｐｙｔｈｏｎによるプログラミング入門　東京大学教養学部テキスト,森畑明昌,東京大学出版会,情報科学,2021
12,9784758121026 ,理系総合のための生命科学,東京大学生命科学教科書編集委員会,羊土社,生物学,2021
13,9784065225479 ,現代物性化学の基礎,小川桂一郎,講談社,化学,2021
